total_purchases,avg_cart_value,total_time_spent,product_click,discount_counts,KMeans_Cluster,GMM_Cluster,Agglo_Cluster,Cluster_Description,customer_id
12.0,106.14,27.95,16.0,1.0,1,1,1,Window Shoppers,CM00166
4.0,72.83,80.42,49.0,2.0,0,0,2,High Spenders,CM00167
18.0,44.87,14.33,15.0,9.0,2,2,0,Bargain Hunters,CM00168
7.0,158.56,23.51,20.0,3.0,1,1,1,Window Shoppers,CM00169
15.0,137.78,50.63,17.0,4.0,1,1,1,Window Shoppers,CM00170
21.0,30.98,26.79,13.0,6.0,2,2,0,Bargain Hunters,CM00171
30.0,29.82,7.04,10.0,10.0,2,2,0,Bargain Hunters,CM00172
8.0,141.08,21.56,23.0,0.0,1,1,1,Window Shoppers,CM00175
21.0,32.63,25.2,17.0,7.0,2,2,0,Bargain Hunters,CM00176
13.0,164.82,30.77,18.0,3.0,1,1,1,Window Shoppers,CM00177
5.0,33.67,101.79,33.0,1.0,0,0,2,High Spenders,CM00178
16.0,20.68,24.06,20.0,8.0,2,2,0,Bargain Hunters,CM00179
3.0,33.29,90.84,43.0,0.0,0,0,2,High Spenders,CM00180
21.0,18.88,9.09,16.0,9.0,2,2,0,Bargain Hunters,CM00182
4.0,59.32,70.28,43.0,1.0,0,0,2,High Spenders,CM00183
27.0,47.71,8.71,10.0,9.0,2,2,0,Bargain Hunters,CM00184
17.0,26.38,8.28,16.0,13.0,2,2,0,Bargain Hunters,CM00185
14.0,16.25,11.84,18.0,15.0,2,2,0,Bargain Hunters,CM00186
3.0,50.27,104.14,56.0,2.0,0,0,2,High Spenders,CM00187
7.0,176.65,40.0,24.0,2.0,1,1,1,Window Shoppers,CM00188
13.0,140.54,48.7,12.0,2.0,1,1,1,Window Shoppers,CM00189
8.0,161.36,38.34,12.0,3.0,1,1,1,Window Shoppers,CM00190
15.0,34.02,5.24,10.0,3.0,2,2,0,Bargain Hunters,CM00191
18.0,23.67,9.89,9.0,6.0,2,2,0,Bargain Hunters,CM00192
14.0,164.18,27.6,28.0,3.0,1,1,1,Window Shoppers,CM00193
5.0,72.58,73.91,53.0,1.0,0,0,2,High Spenders,CM00194
5.0,144.26,24.5,17.0,3.0,1,1,1,Window Shoppers,CM00195
27.0,41.45,6.43,12.0,13.0,2,2,0,Bargain Hunters,CM00196
23.0,41.02,20.52,12.0,8.0,2,2,0,Bargain Hunters,CM00197
29.0,37.12,21.69,16.0,12.0,2,2,0,Bargain Hunters,CM00198
13.0,123.37,20.55,20.0,3.0,1,1,1,Window Shoppers,CM00199
18.0,47.01,29.69,17.0,4.0,2,2,0,Bargain Hunters,CM00200
8.0,77.02,74.75,46.0,0.0,0,0,2,High Spenders,CM00201
5.0,171.21,49.69,18.0,3.0,1,1,1,Window Shoppers,CM00202
18.0,13.08,27.73,19.0,9.0,2,2,0,Bargain Hunters,CM00203
3.0,39.74,114.54,47.0,1.0,0,0,2,High Spenders,CM00204
10.0,125.23,26.15,21.0,4.0,1,1,1,Window Shoppers,CM00205
12.0,109.44,39.35,21.0,0.0,1,1,1,Window Shoppers,CM00206
3.0,22.14,90.9,51.0,1.0,0,0,2,High Spenders,CM00207
8.0,158.66,33.15,19.0,0.0,1,1,1,Window Shoppers,CM00208
7.0,150.0,37.19,15.0,1.0,1,1,1,Window Shoppers,CM00209
3.0,48.25,68.04,60.0,1.0,0,0,2,High Spenders,CM00210
10.0,128.03,53.15,21.0,4.0,1,1,1,Window Shoppers,CM00211
11.0,184.22,49.69,14.0,2.0,1,1,1,Window Shoppers,CM00213
5.0,23.24,107.05,55.0,0.0,0,0,2,High Spenders,CM00214
18.0,21.88,5.79,13.0,9.0,2,2,0,Bargain Hunters,CM00215
12.0,120.23,43.81,23.0,2.0,1,1,1,Window Shoppers,CM00216
9.0,104.03,22.15,11.0,4.0,1,1,1,Window Shoppers,CM00217
15.0,34.31,29.13,10.0,14.0,2,2,0,Bargain Hunters,CM00218
11.0,160.44,37.63,22.0,1.0,1,1,1,Window Shoppers,CM00220
4.0,36.2,72.94,55.0,2.0,0,0,2,High Spenders,CM00221
9.0,135.66,21.01,24.0,2.0,1,1,1,Window Shoppers,CM00222
8.0,27.63,67.57,38.0,2.0,0,0,2,High Spenders,CM00223
12.0,50.69,111.24,43.0,0.0,0,0,2,High Spenders,CM00224
10.0,163.24,27.85,25.0,0.0,1,1,1,Window Shoppers,CM00225
22.0,13.66,21.47,15.0,9.0,2,2,0,Bargain Hunters,CM00226
23.0,35.3,5.19,14.0,7.0,2,2,0,Bargain Hunters,CM00227
16.0,33.29,17.15,21.0,9.0,2,2,0,Bargain Hunters,CM00228
21.0,41.19,24.12,16.0,16.0,2,2,0,Bargain Hunters,CM00229
23.0,31.58,17.31,11.0,11.0,2,2,0,Bargain Hunters,CM00230
12.0,107.93,57.8,26.0,3.0,1,1,1,Window Shoppers,CM00231
16.0,18.82,26.7,26.0,6.0,2,2,0,Bargain Hunters,CM00232
6.0,131.58,25.53,17.0,2.0,1,1,1,Window Shoppers,CM00233
5.0,175.35,43.88,15.0,3.0,1,1,1,Window Shoppers,CM00234
15.0,195.79,25.57,23.0,4.0,1,1,1,Window Shoppers,CM00235
18.0,44.95,17.99,22.0,13.0,2,2,0,Bargain Hunters,CM00236
15.0,159.35,26.35,15.0,2.0,1,1,1,Window Shoppers,CM00237
7.0,54.4,81.83,41.0,1.0,0,0,2,High Spenders,CM00238
12.0,105.46,46.84,19.0,3.0,1,1,1,Window Shoppers,CM00240
2.0,28.16,97.8,63.0,1.0,0,0,2,High Spenders,CM00242
6.0,43.49,98.28,51.0,2.0,0,0,2,High Spenders,CM00243
20.0,17.46,16.37,17.0,8.0,2,2,0,Bargain Hunters,CM00244
4.0,35.83,82.92,46.0,1.0,0,0,2,High Spenders,CM00245
3.0,58.11,111.66,52.0,1.0,0,0,2,High Spenders,CM00246
11.0,163.78,45.98,23.0,0.0,1,1,1,Window Shoppers,CM00247
17.0,22.75,26.77,10.0,11.0,2,2,0,Bargain Hunters,CM00248
27.0,46.0,20.45,9.0,8.0,2,2,0,Bargain Hunters,CM00249
7.0,167.64,36.63,24.0,1.0,1,1,1,Window Shoppers,CM00251
11.0,133.14,29.56,27.0,0.0,1,1,1,Window Shoppers,CM00252
7.0,47.47,22.73,12.0,7.0,2,2,0,Bargain Hunters,CM00254
20.0,33.61,26.12,18.0,10.0,2,2,0,Bargain Hunters,CM00255
3.0,49.74,62.45,41.0,0.0,0,0,2,High Spenders,CM00256
2.0,63.47,73.21,51.0,2.0,0,0,2,High Spenders,CM00257
13.0,10.44,8.56,15.0,6.0,2,2,0,Bargain Hunters,CM00258
23.0,34.13,25.01,15.0,12.0,2,2,0,Bargain Hunters,CM00259
11.0,43.78,27.81,14.0,12.0,2,2,0,Bargain Hunters,CM00260
4.0,76.83,86.16,66.0,1.0,0,0,2,High Spenders,CM00261
2.0,29.35,72.22,63.0,1.0,0,0,2,High Spenders,CM00262
8.0,111.82,42.81,26.0,4.0,1,1,1,Window Shoppers,CM00263
24.0,37.85,9.49,16.0,10.0,2,2,0,Bargain Hunters,CM00264
13.0,183.15,36.74,18.0,2.0,1,1,1,Window Shoppers,CM00265
10.0,158.45,32.14,19.0,5.0,1,1,1,Window Shoppers,CM00267
18.0,31.65,28.89,12.0,7.0,2,2,0,Bargain Hunters,CM00268
14.0,18.6,22.85,16.0,7.0,2,2,0,Bargain Hunters,CM00269
3.0,60.45,115.48,47.0,1.0,0,0,2,High Spenders,CM00270
9.0,152.55,54.66,9.0,3.0,1,1,1,Window Shoppers,CM00271
7.0,55.13,62.33,37.0,1.0,0,0,2,High Spenders,CM00272
23.0,34.68,13.53,9.0,8.0,2,2,0,Bargain Hunters,CM00273
11.0,163.37,25.32,18.0,2.0,1,1,1,Window Shoppers,CM00274
18.0,36.88,22.34,16.0,9.0,2,2,0,Bargain Hunters,CM00275
9.0,112.43,49.68,20.0,1.0,1,1,1,Window Shoppers,CM00276
6.0,55.37,80.89,48.0,2.0,0,0,2,High Spenders,CM00277
16.0,110.34,43.02,14.0,0.0,1,1,1,Window Shoppers,CM00278
13.0,195.05,27.57,31.0,2.0,1,1,1,Window Shoppers,CM00279
6.0,44.64,117.6,52.0,2.0,0,0,2,High Spenders,CM00280
7.0,66.88,90.34,37.0,3.0,0,0,2,High Spenders,CM00281
6.0,69.7,87.26,47.0,1.0,0,0,2,High Spenders,CM00282
12.0,190.03,47.68,15.0,1.0,1,1,1,Window Shoppers,CM00283
2.0,62.42,115.92,48.0,2.0,0,0,2,High Spenders,CM00284
11.0,182.05,55.46,21.0,2.0,1,1,1,Window Shoppers,CM00285
10.0,195.98,56.83,21.0,1.0,1,1,1,Window Shoppers,CM00286
1.0,31.79,79.76,44.0,2.0,0,0,2,High Spenders,CM00287
21.0,33.9,18.99,9.0,12.0,2,2,0,Bargain Hunters,CM00288
20.0,105.12,36.89,24.0,4.0,1,1,1,Window Shoppers,CM00289
7.0,172.21,26.75,17.0,6.0,1,1,1,Window Shoppers,CM00290
5.0,38.53,88.54,45.0,0.0,0,0,2,High Spenders,CM00291
7.0,52.25,63.87,51.0,0.0,0,0,2,High Spenders,CM00292
7.0,25.46,108.63,46.0,1.0,0,0,2,High Spenders,CM00293
9.0,164.1,48.81,25.0,4.0,1,1,1,Window Shoppers,CM00295
9.0,117.46,34.0,17.0,3.0,1,1,1,Window Shoppers,CM00296
10.0,27.45,28.02,16.0,13.0,2,2,0,Bargain Hunters,CM00297
11.0,121.79,47.02,18.0,1.0,1,1,1,Window Shoppers,CM00298
13.0,138.21,24.42,17.0,4.0,1,1,1,Window Shoppers,CM00299
2.0,72.91,79.32,38.0,3.0,0,0,2,High Spenders,CM00300
2.0,77.77,85.53,57.0,1.0,0,0,2,High Spenders,CM00301
26.0,20.89,20.0,17.0,7.0,2,2,0,Bargain Hunters,CM00302
7.0,77.5,94.62,48.0,0.0,0,0,2,High Spenders,CM00303
7.0,51.39,112.33,53.0,1.0,0,0,2,High Spenders,CM00304
11.0,140.15,35.07,19.0,1.0,1,1,1,Window Shoppers,CM00305
16.0,15.6,7.93,8.0,12.0,2,2,0,Bargain Hunters,CM00306
5.0,60.28,90.79,52.0,1.0,0,0,2,High Spenders,CM00307
16.0,158.17,58.25,18.0,4.0,1,1,1,Window Shoppers,CM00308
2.0,50.99,105.8,57.0,2.0,0,0,2,High Spenders,CM00309
5.0,61.21,87.03,45.0,1.0,0,0,2,High Spenders,CM00311
23.0,49.51,23.57,13.0,6.0,2,2,0,Bargain Hunters,CM00312
6.0,105.7,28.56,19.0,4.0,1,1,1,Window Shoppers,CM00313
3.0,68.54,94.28,55.0,0.0,0,0,2,High Spenders,CM00314
12.0,27.84,10.71,17.0,16.0,2,2,0,Bargain Hunters,CM00315
2.0,48.85,93.13,48.0,2.0,0,0,2,High Spenders,CM00316
6.0,74.66,78.21,51.0,2.0,0,0,2,High Spenders,CM00318
4.0,44.77,60.68,47.0,0.0,0,0,2,High Spenders,CM00319
14.0,14.1,27.45,18.0,12.0,2,2,0,Bargain Hunters,CM00320
4.0,34.24,66.45,48.0,0.0,0,0,2,High Spenders,CM00321
24.0,29.85,27.37,16.0,12.0,2,2,0,Bargain Hunters,CM00323
17.0,32.39,23.74,11.0,12.0,2,2,0,Bargain Hunters,CM00324
5.0,43.31,111.55,42.0,1.0,0,0,2,High Spenders,CM00325
23.0,31.67,11.72,13.0,5.0,2,2,0,Bargain Hunters,CM00326
5.0,32.21,75.13,55.0,0.0,0,0,2,High Spenders,CM00327
17.0,10.85,29.24,7.0,9.0,2,2,0,Bargain Hunters,CM00329
7.0,141.48,45.81,20.0,2.0,1,1,1,Window Shoppers,CM00330
6.0,154.13,28.79,20.0,1.0,1,1,1,Window Shoppers,CM00331
19.0,29.04,6.3,11.0,9.0,2,2,0,Bargain Hunters,CM00332
3.0,74.88,79.18,46.0,0.0,0,0,2,High Spenders,CM00334
7.0,37.35,104.18,47.0,0.0,0,0,2,High Spenders,CM00335
16.0,15.15,20.09,15.0,9.0,2,2,0,Bargain Hunters,CM00336
4.0,22.95,61.91,39.0,0.0,0,0,2,High Spenders,CM00337
24.0,18.95,9.43,13.0,4.0,2,2,0,Bargain Hunters,CM00338
11.0,148.96,35.67,35.0,2.0,1,1,1,Window Shoppers,CM00339
6.0,46.93,109.08,48.0,2.0,0,0,2,High Spenders,CM00341
6.0,44.89,97.04,51.0,0.0,0,0,2,High Spenders,CM00342
21.0,11.08,16.28,16.0,8.0,2,2,0,Bargain Hunters,CM00343
21.0,20.62,20.45,12.0,8.0,2,2,0,Bargain Hunters,CM00344
7.0,195.67,54.46,19.0,1.0,1,1,1,Window Shoppers,CM00345
3.0,151.17,27.83,17.0,1.0,1,1,1,Window Shoppers,CM00346
9.0,108.99,27.24,18.0,4.0,1,1,1,Window Shoppers,CM00347
9.0,141.41,35.72,23.0,1.0,1,1,1,Window Shoppers,CM00348
18.0,14.82,22.9,9.0,12.0,2,2,0,Bargain Hunters,CM00349
30.0,19.55,22.67,11.0,8.0,2,2,0,Bargain Hunters,CM00350
8.0,130.57,23.66,21.0,0.0,1,1,1,Window Shoppers,CM00351
4.0,36.46,106.83,51.0,1.0,0,0,2,High Spenders,CM00352
5.0,68.49,75.21,53.0,1.0,0,0,2,High Spenders,CM00355
1.0,44.21,102.59,43.0,0.0,0,0,2,High Spenders,CM00356
16.0,198.25,40.44,17.0,3.0,1,1,1,Window Shoppers,CM00357
5.0,71.94,73.7,44.0,0.0,0,0,2,High Spenders,CM00358
22.0,28.7,16.3,11.0,15.0,2,2,0,Bargain Hunters,CM00359
7.0,193.47,59.06,21.0,2.0,1,1,1,Window Shoppers,CM00361
17.0,44.05,24.56,18.0,7.0,2,2,0,Bargain Hunters,CM00362
5.0,65.77,91.62,43.0,0.0,0,0,2,High Spenders,CM00363
6.0,52.02,82.02,40.0,2.0,0,0,2,High Spenders,CM00364
18.0,18.73,7.8,10.0,8.0,2,2,0,Bargain Hunters,CM00365
6.0,182.01,46.76,20.0,2.0,1,1,1,Window Shoppers,CM00367
6.0,51.14,66.87,44.0,1.0,0,0,2,High Spenders,CM00368
11.0,178.35,54.34,19.0,1.0,1,1,1,Window Shoppers,CM00369
15.0,48.76,8.49,11.0,12.0,2,2,0,Bargain Hunters,CM00370
22.0,11.02,16.15,13.0,9.0,2,2,0,Bargain Hunters,CM00371
12.0,157.16,34.29,19.0,3.0,1,1,1,Window Shoppers,CM00372
4.0,35.12,87.86,56.0,1.0,0,0,2,High Spenders,CM00373
13.0,133.54,37.77,27.0,3.0,1,1,1,Window Shoppers,CM00374
22.0,39.13,23.29,23.0,6.0,2,2,0,Bargain Hunters,CM00375
7.0,59.53,96.17,51.0,0.0,0,0,2,High Spenders,CM00376
10.0,159.57,52.1,17.0,3.0,1,1,1,Window Shoppers,CM00377
5.0,56.39,95.79,43.0,1.0,0,0,2,High Spenders,CM00378
14.0,157.69,28.99,15.0,2.0,1,1,1,Window Shoppers,CM00379
15.0,42.26,22.01,16.0,11.0,2,2,0,Bargain Hunters,CM00380
20.0,33.7,26.96,8.0,11.0,2,2,0,Bargain Hunters,CM00381
14.0,25.89,14.94,12.0,10.0,2,2,0,Bargain Hunters,CM00382
12.0,176.37,55.2,21.0,3.0,1,1,1,Window Shoppers,CM00383
17.0,48.84,27.52,12.0,16.0,2,2,0,Bargain Hunters,CM00384
15.0,134.27,34.22,18.0,0.0,1,1,1,Window Shoppers,CM00385
7.0,74.43,95.62,47.0,0.0,0,0,2,High Spenders,CM00386
